Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1995,38.49818841,74.37350746,71.68011111,76.71,69.3441092,58.25608466,59.390625,64.95555556,80.71803483,74.45393082,57.18030303,55.93257576,62.19607843,61.92092391,66.25619048,66.36909722,77.49947917,58.20654762,64.73333333,52.7921875,54.36114458,51.39003831,64.90695652,74.93577236,53.55595238,68.85991667,50.13867925,60.9547491,54.90833333,62.60992063,69.28813131,64.15392157,56.48844086,60.39545455,71.59534632,59.4150463,59.10410448,59.38,73.60471014,55.18551282,68.52701754,77.19704724,59.85143678,66.23162879,52.72202381,57.9965812,53.12789352,62.83969697,54.77065217
1996,36.79818841,73.4659204,70.40366667,77.82055556,70.27729885,58.80727513,58.209375,63.32777778,80.275,73.9110587,55.36329966,55.75890152,60.59109477,60.13550725,65.54436508,64.91881944,76.7171875,57.2172619,62.97638889,51.89791667,52.77208835,49.05258621,63.53724638,74.15680894,51.12455357,68.127,47.29103774,58.86899642,54.02666667,61.12261905,69.75555556,65.0004902,55.12701613,59.27774621,71.47683983,59.0650463,57.68756219,58.04,73.17065217,52.6624359,67.29921053,77.94311024,60.40977011,64.83257576,51.72797619,56.14337607,51.12118056,61.56424242,54.51992754
1997,39.58152174,73.27487562,70.34277778,76.045,70.16508621,57.27579365,58.88020833,64.70833333,81.06243781,73.9057652,57.1047138,55.71477273,61.06446078,60.40851449,65.45253968,65.09236111,76.14101563,57.6702381,64.571875,51.76458333,53.5874498,51.67011494,63.88891304,73.5898374,53.94017857,68.87816667,51.86147799,60.91227599,54.00333333,62.3468254,66.97727273,63.86715686,55.61357527,59.70359848,70.29632035,59.21203704,58.54291045,58.88,73.30144928,55.63089744,67.49342105,75.2988189,58.63936782,66.01268939,51.55952381,57.4008547,52.8537037,62.13409091,54.52173913
1998,38.71557971,76.12151741,73.58877778,74.79722222,66.72341954,58.69748677,61.65625,67.31944444,82.40049751,76.47641509,60.36043771,56.46609848,64.91854575,64.84610507,67.91087302,68.69506944,78.7625,60.20238095,67.39513889,54.81979167,58.71465863,55.81570881,66.90978261,76.59583333,55.55104167,71.28566667,53.76540881,62.61639785,57.32166667,65.16785714,68.99823232,61.53284314,59.16532258,63.97935606,73.87619048,59.14097222,62.19776119,61.16333333,75.83967391,58.34833333,70.65535088,78.95679134,58.47988506,68.79848485,55.20119048,58.76944444,57.67384259,65.44409091,55.6134058
1999,35.5134058,76.21106965,73.92244444,77.19111111,69.04727011,59.69166667,61.640625,66.70833333,81.78843284,76.22437107,60.33998316,56.59943182,64.65637255,64.42155797,68.49071429,69.22013889,79.29544271,60.54404762,66.54131944,55.62239583,57.31004016,55.25181992,67.4826087,77.06829268,56.21145833,70.73816667,54.05754717,63.91818996,57.44833333,64.58730159,69.74722222,64.70539216,58.52862903,63.44346591,73.87272727,58.96018519,61.24079602,61.71666667,75.25543478,59.64961538,71.19596491,79.3578084,60.50114943,68.19936869,55.10714286,57.30940171,56.3525463,65.55136364,57.24637681
2000,38.90797101,75.73681592,71.97911111,77.45,69.39885057,60.07989418,58.71875,64.56666667,81.68097015,75.17489518,59.36548822,56.61079545,62.75359477,62.03505435,68.18611111,66.64930556,78.38776042,57.61190476,64.54131944,52.32135417,55.46435743,53.52030651,65.95782609,76.25304878,54.79151786,69.32033333,52.54795597,63.07007168,54.44416667,62.06666667,70.31767677,65.02352941,55.80591398,60.8688447,72.39047619,58.81736111,59.07524876,58.77,74.15597826,58.01858974,69.29859649,78.45367454,60.82758621,66.37784091,51.8327381,56.58611111,54.6,63.21439394,56.49673913
2001,38.17934783,74.46268657,72.14922222,76.77111111,70.20991379,59.79695767,61.015625,66.31944444,81.28731343,75.4062369,59.31329966,57.26496212,64.00196078,63.55018116,68.25738095,67.84319444,77.15390625,59.84285714,66.18298611,54.71197917,56.92801205,54.29952107,66.45717391,74.99786585,56.07619048,70.62075,53.63003145,62.71415771,56.97333333,64.16349206,69.42626263,65.41617647,58.26989247,62.47395833,72.61298701,59.50833333,60.88171642,60.735,75.23423913,57.77730769,69.46912281,77.0871063,60.96091954,67.93207071,54.70178571,57.24465812,55.96782407,64.55075758,57.12971014
2002,40.34673913,74.575,71.11077778,77.42611111,70.26637931,59.62949735,60.78333333,67.21388889,81.31691542,75.32489518,59.98804714,55.80359848,63.78112745,63.31548913,67.94015873,67.445625,76.74114583,59.70595238,66.94930556,53.44583333,55.95401606,53.36360153,66.24746377,74.74105691,53.47380952,70.63608333,52.29669811,63.34327957,56.19666667,64.6031746,69.51691919,65.13578431,58.00860215,62.50160985,71.19837662,59.92083333,61.05920398,60.69166667,75.00126812,58.29692308,69.44885965,76.52401575,60.06551724,68.16180556,53.81071429,57.58824786,54.95034722,64.55227273,55.40108696
2003,40.0365942,73.65534826,70.94911111,77.58666667,70.20057471,60.05780423,57.97395833,63.74166667,80.67114428,73.8860587,58.91910774,58.27310606,62.38496732,61.25199275,67.48753968,65.45916667,76.80143229,57.01547619,63.46805556,51.99427083,54.67449799,53.44750958,65.24782609,74.16819106,55.53764881,68.69216667,52.45707547,62.65564516,54.02416667,61.13611111,70.69343434,65.73137255,55.42446237,59.85956439,72.11645022,60.63055556,57.99004975,57.995,73.12355072,57.96448718,67.94192982,77.36227034,61.35114943,65.43125,51.96130952,58.89764957,54.35532407,61.98954545,56.66268116
2004,40.49311594,74.07077114,71.33844444,75.54888889,70.02715517,58.51626984,58.67916667,65.02222222,80.90199005,74.67893082,58.90387205,56.48901515,62.93382353,62.26893116,67.00698413,66.824375,77.15963542,57.47916667,64.87847222,51.96666667,55.00150602,53.0144636,65.18702899,74.67916667,54.753125,69.43733333,51.88003145,62.4374552,54.52583333,62.4952381,67.70353535,64.21666667,56.09825269,61.00284091,71.53290043,60.16458333,59.16318408,58.39166667,74.12336957,58.15782051,68.8777193,76.33415354,59.09281609,66.55738636,52.28392857,58.77521368,54.22430556,63.51106061,55.94384058
